pc name,ip address,status
gtlpc100,192.93.8.100,disabled
gtlpc101,192.93.8.101,disabled
gtlpc102,192.93.8.102,disabled
gtlpc103,192.93.8.103,disabled
gtlpc104,192.93.8.104,disabled
gtlpc105,192.93.8.105,disabled
gtlpc106,192.93.8.106,disabled
gtlpc107,192.93.8.107,disabled
gtlpc108,192.93.8.108,disabled
gtlpc109,192.93.8.109,disabled
gtlpc110,192.93.8.110,disabled
gtlpc111,192.93.8.111,disabled
gtlpc112,192.93.8.112,disabled
gtlpc113,192.93.8.113,disabled
gtlpc114,192.93.8.114,disabled
gtlpc115,192.93.8.115,disabled
gtlpc116,192.93.8.116,enabled
gtlpc117,192.93.8.117,disabled
gtlpc118,192.93.8.118,disabled
gtlpc119,192.93.8.119,disabled
gtlpc120,192.93.8.120,disabled
gtlpc121,192.93.8.121,disabled
gtlpc122,192.93.8.122,enabled
gtlpc123,192.93.8.123,disabled
gtlpc124,192.93.8.124,disabled
gtlpc125,192.93.8.125,disabled
gtlpc127,192.93.8.127,enabled
gtlpc128,192.93.8.128,enabled
gtlpc129,192.93.8.129,disabled
